"FIPS","State","County","X","Y","2012","2013","2014","2015","2016"
1001,"Alabama","Autauga County",872679.179,1094432.99,"22","14","14","13","13"
1003,"Alabama","Baldwin County",789777.5039,884557.0795,"21","19","17","16","17"
1005,"Alabama","Barbour County",997210.9974,1033023.763,"19","19","19","18","17"
1007,"Alabama","Bibb County",822862.4715,1141553.577,"19","18","16","15","15"
1009,"Alabama","Blount County",863725.1736,1255735.164,"21","19","18","18","18"
1011,"Alabama","Bullock County",964066.8275,1055199.419,"22","16","16","18","19"
1013,"Alabama","Butler County",877731.5725,1007285.71,"23","17","16","17","16"
1015,"Alabama","Calhoun County",933856.5711,1239468.533,"21","16","17","15","16"
1017,"Alabama","Chambers County",984214.6861,1148648.711,"23","19","18","16","17"
1019,"Alabama","Cherokee County",949215.6474,1286592.363,"15","19","17","17","16"
1021,"Alabama","Chilton County",862209.9831,1128435.63,"17","20","20","19","19"
1023,"Alabama","Choctaw County",726606.4744,1023615.755,"19","18","18","16","16"
1025,"Alabama","Clarke County",770408.8693,988910.4968,"21","17","18","17","16"
1027,"Alabama","Clay County",936619.6404,1183406.326,"24","19","19","19","19"
1029,"Alabama","Cleburne County",963188.5886,1231820.526,"19","18","17","16","17"
1031,"Alabama","Coffee County",946787.0873,975094.3328,"24","18","17","16","17"
1033,"Alabama","Colbert County",743789.2745,1325454.106,"26","15","15","14","14"
1035,"Alabama","Conecuh County",851719.0504,968600.8416,"20","19","19","18","18"
1037,"Alabama","Coosa County",904809.5675,1142654.543,"17","17","16","17","17"
1039,"Alabama","Covington County",904857.0021,953605.3385,"19","18","18","17","17"
1041,"Alabama","Crenshaw County",912418.1539,1008415.674,"21","19","19","16","17"
1043,"Alabama","Cullman County",834706.1576,1269855.848,"20","19","18","18","19"
1045,"Alabama","Dale County",981951.9843,982254.8233,"23","15","16","15","15"
1047,"Alabama","Dallas County",831746.8892,1067060.135,"23","16","16","15","14"
1049,"Alabama","Dekalb County",927594.6994,1316221.413,"20","24","23","22","23"
1051,"Alabama","Elmore County",917880.3462,1105980.039,"20","14","14","13","12"
1053,"Alabama","Escambia County",839009.4497,933580.2072,"16","20","19","20","19"
1055,"Alabama","Etowah County",911548.6958,1267867.342,"21","18","17","17","16"
1057,"Alabama","Fayette County",759213.3557,1216835.014,"25","17","16","15","15"
1059,"Alabama","Franklin County",742765.9875,1296358.466,"26","23","21","20","20"
1061,"Alabama","Geneva County",964463.038,942645.4236,"27","20","18","19","19"
1063,"Alabama","Greene County",747835.8866,1118587.797,"17","18","18","16","17"
1065,"Alabama","Hale County",778699.4525,1111106.207,"18","17","19","16","16"
1067,"Alabama","Henry County",1015751.445,995307.1768,"18","18","17","17","17"
1069,"Alabama","Houston County",1014495.139,954644.0686,"22","17","16","16","16"
1071,"Alabama","Jackson County",906128.3197,1349861.498,"25","19","18","17","18"
1073,"Alabama","Jefferson County",838191.1631,1205354.6,"24","16","15","15","15"
1075,"Alabama","Lamar County",725857.7,1220472.403,"29","17","17","17","16"
1077,"Alabama","Lauderdale County",755443.8463,1349000.612,"25","15","15","16","15"
1079,"Alabama","Lawrence County",790299.6906,1309506.198,"23","19","18","18","18"
1081,"Alabama","Lee County",991482.718,1114381.651,"25","16","17","15","16"
1083,"Alabama","Limestone County",817073.2449,1344348.673,"13","17","16","16","16"
1085,"Alabama","Lowndes County",876181.2191,1052196.1,"13","17","17","16","15"
1087,"Alabama","Macon County",962776.2814,1087058.722,"22","16","16","15","16"
1089,"Alabama","Madison County",856563.8724,1342883.807,"19","14","15","14","14"
1091,"Alabama","Marengo County",768811.3741,1052639.321,"20","17","18","15","15"
1093,"Alabama","Marion County",741675.3786,1261966.009,"19","17","17","16","16"
