STATEFP,COUNTYFP,FIPS,County,State,x,y
31,039,31039,Cuming,Nebraska,-64853.25073525603,2101819.057337614
53,069,53069,Wahkiakum,Washington,-2089478.280878809,2892859.503002896
35,011,35011,De Baca,New Mexico,-766947.513248359,1287205.3808931992
31,109,31109,Lancaster,Nebraska,-57563.813117220634,1974998.8830119274
31,129,31129,Nuckolls,Nebraska,-172799.3232599525,1908591.558222179
46,099,46099,Minnehaha,South Dakota,-63550.03899112281,2298235.082994351
48,327,48327,Menard,Texas,-364166.2807860489,875535.2816112207
06,091,6091,Sierra,California,-2063662.3567092398,2107660.9705580887
21,053,21053,Clinton,Kentucky,959173.9203627746,1575104.1570942383
39,063,39063,Hancock,Ohio,1026235.7631939177,2065884.1759480075
48,189,48189,Hale,Texas,-533472.3946102617,1239203.9780324213
01,027,1027,Clay,Alabama,936645.5021717839,1183339.9437569801
48,011,48011,Armstrong,Texas,-484902.2576123313,1336539.43141059
39,003,39003,Allen,Ohio,993102.9521112054,2035634.9099580974
13,189,13189,McDuffie,Georgia,1243596.9496551561,1245793.0991405605
55,111,55111,Sauk,Wisconsin,487375.74604703253,2285853.003006848
05,137,5137,Stone,Arkansas,343901.0638799838,1429999.482618719
41,063,41063,Wallowa,Oregon,-1639793.8515783313,2693613.9828772917
42,007,42007,Beaver,Pennsylvania,1305892.1003664369,2071170.2232354837
28,061,28061,Jasper,Mississippi,646397.6271797301,1017318.8915920741
29,083,29083,Henry,Missouri,190970.04765409225,1708209.2744208076
08,109,8109,Saguache,Colorado,-891522.9582973935,1720140.8739488267
37,037,37037,Chatham,North Carolina,1494059.5542470044,1537405.2127129075
49,033,49033,Rich,Utah,-1255312.3139221356,2170584.840047847
40,001,40001,Adair,Oklahoma,120010.80337374881,1426560.6653200877
39,085,39085,Lake,Ohio,1210027.1754561798,2194924.7710358547
51,775,51775,Salem,Virginia,1393733.8792527087,1700043.6451698372
51,121,51121,Montgomery,Virginia,1367051.032535393,1682827.8373551187
47,065,47065,Hamilton,Tennessee,976341.5661803393,1402736.7207809663
35,035,35035,Otero,New Mexico,-907428.3904172777,1106575.5224301075
35,003,35003,Catron,New Mexico,-1135486.378877506,1279617.9491757706
01,091,1091,Marengo,Alabama,768784.3529188822,1052592.7406262306
56,023,56023,Lincoln,Wyoming,-1196306.8417894284,2232450.282417422
29,011,29011,Barton,Missouri,144734.57686903872,1608303.5695090517
48,057,48057,Calhoun,Texas,-60412.915338320476,596660.8286087707
51,735,51735,Poquoson,Virginia,1723424.2621152764,1747139.8664326991
54,075,54075,Pocahontas,West Virginia,1378196.5479716423,1816222.381988493
48,077,48077,Clay,Texas,-203040.41492826163,1193336.256277035
51,095,51095,James City,Virginia,1676399.8851793138,1756018.0969546454
31,101,31101,Keith,Nebraska,-470804.21693033446,2035276.9801403764
31,137,31137,Phelps,Nebraska,-286827.51197088964,1949385.0608751655
22,019,22019,Calcasieu,Louisiana,253910.66313636315,798367.3585448887
22,111,22111,Union,Louisiana,337310.9269084514,1090971.6124336887
40,135,40135,Sequoyah,Oklahoma,111956.95139184681,1382975.3608913473
01,049,1049,DeKalb,Alabama,927567.245409192,1316162.3497814375
36,101,36101,Steuben,New York,1515894.8302854726,2289788.937778815
42,053,42053,Forest,Pennsylvania,1381530.209574314,2178599.167647162
22,105,22105,Tangipahoa,Louisiana,534807.4269208787,854672.739120591
51,179,51179,Stafford,Virginia,1593506.6558682772,1865930.7506244525
26,109,26109,Menominee,Michigan,662465.9160482009,2533636.360274944
18,073,18073,Jasper,Indiana,739983.377227661,2036148.9983292592
13,025,13025,Brantley,Georgia,1326653.1291056983,1000388.6589011537
13,171,13171,Lamar,Georgia,1097557.2651353083,1180411.5716772096
18,151,18151,Steuben,Indiana,907448.5944679152,2123637.2954908824
48,361,48361,Orange,Texas,202679.77871251595,785084.2467964839
39,047,39047,Fayette,Ohio,1064911.5641358562,1908034.5264244028
25,015,25015,Hampshire,Massachusetts,1891315.37312627,2382354.664961188
