"FIPS","State","County","Year","x","y","Diabetes","Obesity","Physical_inactivity","Poverty"
1001,"Alabama","Autauga County",2004,872679.179,1094432.99,10.1,31.3,32.7,11.6
1003,"Alabama","Baldwin County",2004,789777.5039,884557.0795,7.2,26.5,25.8,10
1005,"Alabama","Barbour County",2004,997210.9974,1033023.763,9.6,32.8,35,23.9
1007,"Alabama","Bibb County",2004,822862.4715,1141553.577,9.3,30.4,28.2,17.1
1009,"Alabama","Blount County",2004,863725.1736,1255735.164,8.1,25.8,29.5,12.4
1011,"Alabama","Bullock County",2004,964066.8275,1055199.419,11.5,37.1,36.1,30.3
1013,"Alabama","Butler County",2004,877731.5725,1007285.71,10.3,31.3,31.4,21
1015,"Alabama","Calhoun County",2004,933856.5711,1239468.533,9.2,30,31.1,16.9
1017,"Alabama","Chambers County",2004,984214.6861,1148648.711,10.7,32.1,31.9,17.2
1019,"Alabama","Cherokee County",2004,949215.6474,1286592.363,8.6,27.2,35.1,16.1
1021,"Alabama","Chilton County",2004,862209.9831,1128435.63,8.4,29.4,31.7,14.8
1023,"Alabama","Choctaw County",2004,726606.4744,1023615.755,10.5,31.9,32.9,20.2
1025,"Alabama","Clarke County",2004,770408.8693,988910.4968,10.9,33.1,33.3,20.9
1027,"Alabama","Clay County",2004,936619.6404,1183406.326,8.2,29.5,30.7,13.9
1029,"Alabama","Cleburne County",2004,963188.5886,1231820.526,9.1,28.6,30.6,14.7
1031,"Alabama","Coffee County",2004,946787.0873,975094.3328,9.9,31.8,27.8,14.2
1033,"Alabama","Colbert County",2004,743789.2745,1325454.106,9.8,27.6,31.3,14.7
1035,"Alabama","Conecuh County",2004,851719.0504,968600.8416,10.6,33.6,35.2,23.1
1037,"Alabama","Coosa County",2004,904809.5675,1142654.543,10,31.6,32.6,14
1039,"Alabama","Covington County",2004,904857.0021,953605.3385,9.2,27.3,27.5,18.7
1041,"Alabama","Crenshaw County",2004,912418.1539,1008415.674,8.6,31.1,29,18.6
1043,"Alabama","Cullman County",2004,834706.1576,1269855.848,8.7,25.6,27.8,13.8
1045,"Alabama","Dale County",2004,981951.9843,982254.8233,10.3,30.2,32.5,16.7
1047,"Alabama","Dallas County",2004,831746.8892,1067060.135,13,37.7,31.1,27.4
1049,"Alabama","Dekalb County",2004,927594.6994,1316221.413,7.9,25.3,35.6,15.8
1051,"Alabama","Elmore County",2004,917880.3462,1105980.039,8.2,27.3,28,12.5
1053,"Alabama","Escambia County",2004,839009.4497,933580.2072,9.6,31.6,30.4,20.1
1055,"Alabama","Etowah County",2004,911548.6958,1267867.342,8.2,29.9,31.3,16.1
1057,"Alabama","Fayette County",2004,759213.3557,1216835.014,8.8,30.8,37.2,17.4
